ID,time,text,retweets,favorites
1331308570403594243,Tue Nov 24 18:47:52 +0000 2020,"The Miami Heat plan to sign All-Star Bam Adebayo to a five-year, $163M contract extension, source tells @TheAthleticNBA @Stadium.",2486,21651
1331273778458992640,Tue Nov 24 16:29:37 +0000 2020,"Denver’s Bol Bol has agreed to a new two-year, $4.2M deal with the Nuggets, his agents Andrew Morrison and Sam Rose of CAA Sports tell @TheAthleticNBA @Stadium.",703,11409
1331269041374236672,Tue Nov 24 16:10:47 +0000 2020,"Marc Gasol has signed his two-year, $5.3M deal with the Lakers, source tells @TheAthleticNBA @Stadium. No team or player option in second season.",1391,14722
1331016687659970567,Mon Nov 23 23:28:02 +0000 2020,"Former Pistons guard Jordan Bone has agreed to a two-way contract with the Orlando Magic, source tells @TheAthleticNBA @Stadium.",253,3121
1331005360077987844,Mon Nov 23 22:43:01 +0000 2020,"Free agent DeMarcus Cousins and the Houston Rockets are nearing a deal, sources tell @TheAthleticNBA @Stadium.",2987,23100
1330998035837562884,Mon Nov 23 22:13:55 +0000 2020,"Free agent Tacko Fall has signed a two-way contract with the Boston Celtics, sources tell @TheAthleticNBA @Stadium.",994,14467
1330954986356961285,Mon Nov 23 19:22:51 +0000 2020,"Free agent center Alex Len has agreed to a deal with the Toronto Raptors, sources tell @TheAthleticNBA @Stadium.",671,7007
1330925768801652737,Mon Nov 23 17:26:45 +0000 2020,"Free agent Markieff Morris has agreed to a minimum deal to return to the Los Angeles Lakers, source tells @TheAthleticNBA @Stadium.",2840,25650
1330840226219118593,Mon Nov 23 11:46:50 +0000 2020,"Pope Francis and five NBA players (Marco Belinelli, Sterling Brown, Jonathan Isaac, Kyle Korver, Anthony Tolliver) will meet on Monday in Vatican City to discuss the players’ efforts around social justice.",1139,15833
1330674168346644481,Mon Nov 23 00:46:59 +0000 2020,"Free agent center Aron Baynes has agreed to a two-year, $14.3M deal with the Toronto Raptors, sources tell @TheAthleticNBA @Stadium.",2194,23044
1330673178977382402,Mon Nov 23 00:43:03 +0000 2020,"Free agent Marc Gasol has agreed to a deal with the Lakers, source tells @TheAthleticNBA @Stadium.",3351,26199
1330630263030902790,Sun Nov 22 21:52:31 +0000 2020,"Restricted free agent Juancho Hernangomez is finalizing a three-year, $21M deal to re-sign with the Minnesota Timberwolves, sources tell @TheAthleticNBA @Stadium.",488,5045
1330616701076049921,Sun Nov 22 20:58:37 +0000 2020,"Free agent center Willy Hernangomez has agreed to a one-year, minimum deal with the New Orleans Pelicans, agent Guillermo Bermejo of YouFirst and Tandem Sports tells @TheAthleticNBA @Stadium.",486,3954
1330602276495511561,Sun Nov 22 20:01:18 +0000 2020,"Free agent center Willie Cauley-Stein has agreed to a two-year, $8.2M deal to return to the Dallas Mavericks, sources tell @TheAthleticNBA @Stadium.",635,5589
1330596989076115469,Sun Nov 22 19:40:18 +0000 2020,"Marc Gasol is narrowing his focus to the Lakers and Raptors, and L.A. is working market place to find way to improve offer, sources tell @TheAthleticNBA @Stadium. Mavericks are not expected to be destination.",1060,10305
1330595543819710465,Sun Nov 22 19:34:33 +0000 2020,"Trade complete:

MIL: Jrue Holiday, No. 60 pick Sam Merrill
NOLA: Steven Adams, Eric Bledsoe, ‘25/'27 1sts, ‘24/'26 swaps via MIL
OKC: George Hill, Josh Gray, Kenrich Williams, Zylan Cheatham, Darius Miller, ‘23 protected 1st via Denver, two 2nd round picks
DEN: RJ Hampton",1244,9822
1330567453554974723,Sun Nov 22 17:42:56 +0000 2020,"Free agent Kent Bazemore has agreed to a one-year deal with the Golden State Warriors, agent Austin Walton tells @TheAthleticNBA @Stadium.",1006,9409
1330557199605706755,Sun Nov 22 17:02:11 +0000 2020,"The Los Angeles Lakers have emerged as a serious suitor for Marc Gasol, sources tell @TheAthleticNBA @Stadium. Championship chase and L.A. are appealing for Gasol.",2167,21432
1330544362636398593,Sun Nov 22 16:11:11 +0000 2020,"Free agent JaKarr Sampson has agreed to a one-year, fully guaranteed minimum contract to return to the Indiana Pacers, his agent Aaron Turner tells @TheAthleticNBA @Stadium.",284,3305
1330366922169454593,Sun Nov 22 04:26:05 +0000 2020,"Free agent Serge Ibaka has agreed to a deal with the Los Angeles Clippers, sources tell @TheAthleticNBA @Stadium.",2866,22857
1330315380791848963,Sun Nov 22 01:01:17 +0000 2020,"Free agent Wes Iwundu is close to a deal with the Dallas Mavericks, sources tell @TheAthleticNBA @Stadium.",342,3603
1330313657717288963,Sun Nov 22 00:54:26 +0000 2020,"Free agent Kentavious Caldwell-Pope has agreed to a three-year, $40M deal with the Lakers, Klutch Sports CEO Rich Paul tells @TheAthleticNBA @Stadium.",3899,28075
1330298604314103811,Sat Nov 21 23:54:37 +0000 2020,"The Golden State Warriors have applied for the Disabled Player Exception worth $9.3M due to the season-ending loss of Klay Thompson, sources tell @TheAthleticNBA @Stadium.",726,9564
1330273048025509894,Sat Nov 21 22:13:04 +0000 2020,"Free agent Carmelo Anthony is finalizing a deal to re-sign with the Portland Trail Blazers, sources tell @TheAthleticNBA @Stadium.",2580,25514
1330270696161878023,Sat Nov 21 22:03:43 +0000 2020,"The Rockets have claimed former Knicks two-way forward Kenny Wooten off waivers, sources tell @TheAthleticNBA @Stadium.",343,3866
1330266298127937539,Sat Nov 21 21:46:15 +0000 2020,"Free agent Paul Millsap has agreed to a one-year, $10M-plus deal to return to the Denver Nuggets, his agent DeAngelo Simmons tells @TheAthleticNBA @Stadium.",967,8151
1330262001344507912,Sat Nov 21 21:29:10 +0000 2020,"Rajon Rondo has agreed to a two-year, $15M deal with Atlanta Hawks, sources tell @TheAthleticNBA @Stadium.",1558,13620
1330234632051318785,Sat Nov 21 19:40:25 +0000 2020,"Free agent Jeff Green has agreed to a deal with the Brooklyn Nets, sources tell @TheAthleticNBA @Stadium.",1101,9242
1330224397467185153,Sat Nov 21 18:59:45 +0000 2020,"Free agent Jae Crowder has agreed to a three-year deal with the Phoenix Suns, sources tell @TheAthleticNBA @Stadium.",1936,17374
1330223187695710210,Sat Nov 21 18:54:56 +0000 2020,Sources: The NBA and NBPA have agreed that players who elect not to play in 2020-21 season must notify of election by Dec. 1. Players who elect not to play will be prohibited from signing a contract for which 2020-21 season is covered.,481,3468
1330221513727995907,Sat Nov 21 18:48:17 +0000 2020,"Former undrafted two-way player John Konchar has agreed to a four-year, $9M deal with the Memphis Grizzlies, agent Happy Walters tells @TheAthleticNBA @Stadium.",332,3689
1330219614517780481,Sat Nov 21 18:40:45 +0000 2020,"Free agent Avery Bradley has agreed to a two-year, $11.6M deal with the Miami Heat, his agent Charles Briscoe tells @TheAthleticNBA @Stadium.",2642,17358
1330202493553348611,Sat Nov 21 17:32:43 +0000 2020,"Fred VanVleet has agreed to a four-year, $85M deal to re-sign with the Toronto Raptors, agent Brian Jungreis of @ParLay_SE told @TheAthleticNBA @Stadium.",3916,28122
1330198296594423810,Sat Nov 21 17:16:02 +0000 2020,"Free agent guard DJ Augustin has agreed to a three-year, $21M deal with Milwaukee, sources tell @TheAthleticNBA @Stadium.",668,5468
1330195924509990914,Sat Nov 21 17:06:36 +0000 2020,"Free agent guard Raul Neto has agreed to a one-year deal with the Washington Wizards, sources tell @TheAthleticNBA @Stadium.",389,3933
1330194776235372554,Sat Nov 21 17:02:03 +0000 2020,"Free agent Bobby Portis has agreed to a deal with the Milwaukee Bucks, sources tell @TheAthleticNBA @Stadium.",747,6701
1330191995734790151,Sat Nov 21 16:51:00 +0000 2020,"Restricted free agent De’Anthony Melton has agreed to four-year, $35M deal with the Memphis Grizzlies, sources tell @TheAthleticNBA @Stadium.",536,4868
1330147561613774850,Sat Nov 21 13:54:26 +0000 2020,"Free agent Michael Carter-Williams has agreed to a deal to return to the Orlando Magic, sources tell @TheAthleticNBA @Stadium.",435,4750
1330136874237747200,Sat Nov 21 13:11:58 +0000 2020,"Free agent Denzel Valentine has signed a one-year, $4.7M (qualifying offer) deal with the Bulls, sources tell @TheAthleticNBA @Stadium.",436,4889
1330038700894466048,Sat Nov 21 06:41:51 +0000 2020,"Free agent JaMychal Green has agreed to a two-year, $15M deal with the Denver Nuggets, with player option in second season, sources tell @TheAthleticNBA @Stadium.",784,7248
1330027326776676352,Sat Nov 21 05:56:40 +0000 2020,"Oklahoma City is in serious talks to move center Steven Adams to New Orleans, sources tell @TheAthleticNBA @Stadium.",1065,10396
1330010493776486402,Sat Nov 21 04:49:46 +0000 2020,"Free agent Jakob Poeltl is finalizing a three-year, near $27M deal to return to San Antonio, agents Mike Tellem, Aaron Mintz and Steven Heumann tell @TheAthleticNBA @Stadium.",669,5689
1330007679318765570,Sat Nov 21 04:38:35 +0000 2020,"Free agent Justin Holiday has agreed to a three-year, $18.1M deal to return to the Indiana Pacers, sources tell @TheAthleticNBA @Stadium.",647,6165
1330006161282699269,Sat Nov 21 04:32:33 +0000 2020,"Free agent James Ennis has agreed to a one-year deal to return to the Orlando Magic, sources tell @TheAthleticNBA @Stadium.",395,3636
1329990993609953280,Sat Nov 21 03:32:17 +0000 2020,"As Rockets/Wizards talks on Russell Westbrook-for-John Wall stall, Wall has made it clear he wants trade out of Washington to happen, sources tell @TheAthleticNBA @Stadium.",3372,20699
1329988235397836801,Sat Nov 21 03:21:19 +0000 2020,"Free agent Derrick Jones has agreed to a two-year, $19M deal with the Portland Trail Blazers, sources tell @TheAthleticNBA @Stadium.",1085,9304
1329982846291894273,Sat Nov 21 02:59:55 +0000 2020,"Free agent Jerami Grant has agreed to a three-year, $60 million deal with the Detroit Pistons, sources tell @TheAthleticNBA @Stadium.

Deal negotiated by agent Mike Kneisley.",1696,14293
1329982429453578241,Sat Nov 21 02:58:15 +0000 2020,"Free agent Joe Harris plans to return to the Brooklyn Nets, sources tell @TheAthleticNBA @Stadium.",757,6799
1329977779434053632,Sat Nov 21 02:39:47 +0000 2020,"The Los Angeles Lakers are nearing a deal with Montrezl Harrell, the reigning Sixth Man of the Year, sources tell @TheAthleticNBA @Stadium.",5049,36089
1329964052940992513,Sat Nov 21 01:45:14 +0000 2020,"Restricted free agent Malik Beasley (@Mbeasy5) has agreed to a four-year, $60M deal to return to the Minnesota Timberwolves, his agent Brian Jungreis told @TheAthleticNBA @Stadium.",738,6504
1329960730511233027,Sat Nov 21 01:32:02 +0000 2020,"Free agent Dwight Howard has agreed to a one-year deal with the Philadelphia 76ers, his agent Charles Briscoe tells @TheAthleticNBA @Stadium.",4161,25870
1329943080515080193,Sat Nov 21 00:21:54 +0000 2020,Update: Dwight Howard continues to consider all of his options. No deal done.,897,11273
1329942153984954370,Sat Nov 21 00:18:13 +0000 2020,"Sacramento Kings young star De'Aaron Fox has agreed to a five-year, $163M maximum extension, with clause to reach the $195.6M super max, sources tell @TheAthleticNBA @Stadium.

Deal negotiated by his agent @chrisgaston_ of @FamFirstSports.",2597,17090
1329928721135001601,Fri Nov 20 23:24:50 +0000 2020,"Free agent Wes Matthews plans to sign with the Lakers, sources tell @TheAthleticNBA @Stadium.",4361,28898
1329923646748585989,Fri Nov 20 23:04:40 +0000 2020,"Free agent Goran Dragic has agreed to a two-year, $37.4M deal to re-sign with the Miami Heat, sources tell @TheAthleticNBA @Stadium.",1564,13683
